sepal_length,sepal_width,petal_length,petal_width,species_pred,max_prob
5.5,2.5,4.0,1.3,Iris-versicolor,0.8823503411527496
6.9,3.1,5.1,2.3,Iris-virginica,0.9321014422597672
5.1,2.5,3.0,1.1,Iris-versicolor,0.8924992550134402
4.4,2.9,,0.2,Iris-setosa,0.7442096748864724
5.9,3.0,5.1,1.8,Iris-virginica,0.6616830726682329
5.5,3.5,1.3,0.2,Iris-setosa,0.963336344616704
5.6,,3.6,1.3,Iris-versicolor,0.8132094917522483
6.5,3.0,5.2,2.0,Iris-virginica,0.8434091612416811
5.3,3.7,1.5,0.2,Iris-setosa,0.9852046030575012
5.1,3.4,1.5,,Iris-setosa,0.8869999327284389
6.1,2.8,4.0,1.3,Iris-versicolor,0.8973210735742793
5.5,2.4,3.7,1.0,Iris-versicolor,0.9480758771320078
7.7,3.0,6.1,2.3,Iris-virginica,0.9865703070459806
6.9,3.1,4.9,1.5,Iris-versicolor,0.6451402353596909
6.0,2.2,5.0,1.5,Iris-virginica,0.5968152110942263
